Japan, Exposure to risk (period 1x1)     Last modified:2026-02-20, ver.005_002 JMD(IPSS)

   Year      Age       Female          Male         Total
    1947        0      1129903.59   1185445.84   2315349.43
    1947        1       761444.34    792206.96   1553651.30
    1947        2       839711.94    864742.67   1704454.61
    1947        3      1000103.34   1026489.62   2026592.96
    1947        4       951493.53    976625.15   1928118.68
    1947        5       990175.19   1017574.46   2007749.65
    1947        6       946161.06    971731.58   1917892.63
    1947        7       858504.83    879758.24   1738263.07
    1947        8       780679.11    799063.32   1579742.43
    1947        9       870834.29    891249.14   1762083.44
    1947       10       876944.61    895753.72   1772698.34
    1947       11       898053.36    919072.39   1817125.75
    1947       12       859413.53    875377.97   1734791.51
    1947       13       843699.31    856760.65   1700459.97
    1947       14       868157.00    884040.60   1752197.61
    1947       15       841761.98    852648.85   1694410.83
    1947       16       835781.94    843635.33   1679417.27
    1947       17       796732.23    797834.72   1594566.95
    1947       18       806856.04    796917.51   1603773.55
    1947       19       776059.70    764595.16   1540654.86
    1947       20       774440.56    760310.02   1534750.58
    1947       21       763733.28    731475.18   1495208.46
    1947       22       723362.26    665937.47   1389299.73
    1947       23       696283.78    602969.51   1299253.29
    1947       24       674694.74    540430.12   1215124.86
    1947       25       658269.22    509433.05   1167702.27
    1947       26       646096.63    499816.73   1145913.37
    1947       27       622890.23    497064.84   1119955.07
    1947       28       548146.08    451791.05    999937.12
    1947       29       555655.57    463821.43   1019477.01
    1947       30       559899.45    473596.89   1033496.34
    1947       31       560506.78    483244.53   1043751.31
    1947       32       554457.32    485958.77   1040416.09
    1947       33       554327.76    491948.20   1046275.96
    1947       34       538549.39    479061.30   1017610.69
    1947       35       536862.15    478482.64   1015344.79
    1947       36       514368.20    469778.23    984146.42
    1947       37       501705.12    465746.58    967451.71
    1947       38       491431.32    462376.72    953808.04
    1947       39       475273.07    453240.31    928513.39
    1947       40       439617.59    440397.17    880014.76
    1947       41       394911.92    402603.12    797515.05
    1947       42       409360.70    406897.19    816257.89
    1947       43       400264.49    409301.04    809565.52
    1947       44       413382.35    422427.86    835810.21
    1947       45       407469.16    420342.54    827811.70
    1947       46       389110.57    400873.32    789983.89
    1947       47       368822.43    381904.11    750726.54
    1947       48       352742.35    369509.30    722251.66
    1947       49       345282.74    358602.66    703885.40
    1947       50       328643.63    341300.57    669944.20
    1947       51       317036.22    327771.45    644807.67
    1947       52       307403.83    317846.95    625250.78
    1947       53       289739.12    300377.31    590116.44
    1947       54       285562.55    292141.05    577703.60
    1947       55       271481.08    274276.94    545758.02
    1947       56       262116.91    260900.36    523017.26
    1947       57       277843.74    270459.57    548303.31
    1947       58       271162.99    264319.54    535482.53
    1947       59       248384.38    239725.10    488109.48
    1947       60       237198.59    221381.88    458580.48
    1947       61       230601.94    210053.84    440655.78
    1947       62       222071.39    197331.88    419403.27
    1947       63       220144.20    189791.40    409935.61
    1947       64       217254.51    182642.01    399896.52
    1947       65       208407.72    174431.49    382839.21
    1947       66       197129.55    163321.54    360451.09
    1947       67       188054.81    151918.84    339973.65
    1947       68       180779.49    142911.56    323691.05
    1947       69       172281.29    132290.98    304572.27
    1947       70       164408.30    123006.05    287414.36
    1947       71       148296.73    109523.60    257820.33
    1947       72       131172.78     94300.60    225473.38
    1947       73       121244.75     84623.26    205868.01
    1947       74       105963.78     72075.32    178039.10
    1947       75        86235.64     57712.13    143947.77
    1947       76        72326.08     47189.94    119516.01
    1947       77        65476.39     40389.42    105865.82
    1947       78        63369.55     37509.91    100879.46
    1947       79        53794.93     31115.27     84910.21
    1947       80        42312.70     23793.57     66106.27
    1947       81        37702.63     20261.97     57964.60
    1947       82        32143.95     16573.87     48717.82
    1947       83        23471.59     11959.25     35430.83
    1947       84        16743.23      8157.92     24901.15
    1947       85        12365.58      5744.81     18110.39
    1947       86         9862.06      4542.36     14404.41
    1947       87         7981.91      3518.35     11500.27
    1947       88         6055.72      2654.80      8710.52
    1947       89         4517.76      1955.77      6473.53
    1947       90         3239.03      1324.44      4563.47
    1947       91         2223.50       857.52      3081.02
    1947       92         1532.11       554.18      2086.29
    1947       93          974.24       363.39      1337.63
    1947       94          620.93       244.83       865.76
    1947       95          369.16       147.60       516.76
    1947       96          220.27        86.22       306.49
    1947       97          148.57        59.54       208.11
    1947       98           86.04        43.70       129.74
    1947       99           41.02        24.52        65.54
    1947      100           23.01        10.34        33.35
    1947      101           15.01         4.00        19.01
    1947      102            8.67         4.00        12.67
    1947      103            6.84         1.33         8.17
    1947      104            3.67         1.00         4.67
    1947      105            2.17         2.00         4.17
    1947      106            1.67         1.33         3.00
    1947      107            1.00         1.33         2.33
    1947      108            1.00         0.00         1.00
    1947      109            1.17         0.50         1.67
    1947      110+           7.50         3.17        10.67
    1948        0      1270430.32   1327740.83   2598171.15
    1948        1      1083058.43   1131547.77   2214606.20
    1948        2       746623.37    776457.84   1523081.21
    1948        3       830185.32    854870.17   1685055.49
    1948        4       992692.62   1018704.67   2011397.29
    1948        5       946867.54    971575.66   1918443.20
    1948        6       986720.52   1013693.98   2000414.51
    1948        7       943544.49    968745.79   1912290.28
    1948        8       856640.75    877515.26   1734156.01
    1948        9       779195.51    797344.77   1576540.28
    1948       10       869340.49    889553.12   1758893.61
    1948       11       875564.81    894231.45   1769796.26
    1948       12       896650.18    917644.37   1814294.55
    1948       13       857946.21    873977.57   1731923.78
    1948       14       842039.57    855278.81   1697318.38
    1948       15       866050.89    882201.21   1748252.10
    1948       16       839215.35    850415.97   1689631.32
    1948       17       832721.48    840808.95   1673530.43
    1948       18       793209.40    794409.14   1587618.53
    1948       19       802749.94    792581.77   1595331.71
    1948       20       771271.45    759574.11   1530845.56
    1948       21       769227.79    754768.77   1523996.57
    1948       22       758284.14    725800.82   1484084.96
    1948       23       718088.56    660418.13   1378506.69
    1948       24       691028.40    597863.60   1288892.00
    1948       25       669717.65    535830.33   1205547.99
    1948       26       653521.98    505173.87   1158695.85
    1948       27       641587.29    495724.38   1137311.66
    1948       28       618593.35    493095.79   1111689.14
    1948       29       544389.04    448249.79    992638.83
    1948       30       551896.51    460238.73   1012135.24
    1948       31       556184.82    470011.40   1026196.22
    1948       32       556824.36    479596.40   1036420.76
    1948       33       550856.37    482240.61   1033096.99
    1948       34       550728.43    488171.18   1038899.61
    1948       35       535071.63    475455.82   1010527.44
    1948       36       533356.76    474801.25   1008158.02
    1948       37       510921.66    466054.50    976976.16
    1948       38       498250.99    462024.43    960275.41
    1948       39       488084.57    458609.46    946694.03
    1948       40       471862.30    449465.91    921328.21
