Japan, Death Rates (period 1x1)     Last modified:2026-02-20, ver.005_002 JMD(IPSS)

   Year      Age       Female       Male         Total
   1947        0   0.083061     0.094254     0.088792
   1947        1   0.036376     0.037426     0.036911
   1947        2   0.017488     0.017290     0.017387
   1947        3   0.011059     0.011106     0.011083
   1947        4   0.007041     0.007468     0.007257
   1947        5   0.004856     0.005122     0.004991
   1947        6   0.003646     0.003881     0.003765
   1947        7   0.002882     0.003322     0.003105
   1947        8   0.002262     0.002535     0.002400
   1947        9   0.002005     0.002200     0.002103
   1947       10   0.001809     0.001980     0.001895
   1947       11   0.001702     0.001734     0.001718
   1947       12   0.001831     0.001713     0.001772
   1947       13   0.001911     0.001829     0.001870
   1947       14   0.002352     0.002030     0.002189
   1947       15   0.003207     0.002722     0.002963
   1947       16   0.003641     0.003227     0.003433
   1947       17   0.004537     0.004306     0.004421
   1947       18   0.005239     0.005454     0.005346
   1947       19   0.006333     0.006896     0.006612
   1947       20   0.007026     0.007650     0.007335
   1947       21   0.007360     0.008304     0.007822
   1947       22   0.007444     0.008738     0.008065
   1947       23   0.007853     0.009033     0.008401
   1947       24   0.007918     0.009052     0.008422
   1947       25   0.007670     0.008940     0.008224
   1947       26   0.007374     0.008760     0.007979
   1947       27   0.007228     0.008516     0.007800
   1947       28   0.007328     0.008273     0.007755
   1947       29   0.007297     0.008380     0.007790
   1947       30   0.007185     0.008000     0.007558
   1947       31   0.007025     0.007904     0.007432
   1947       32   0.007004     0.008266     0.007594
   1947       33   0.007026     0.008226     0.007590
   1947       34   0.006927     0.008120     0.007488
   1947       35   0.006882     0.008236     0.007520
   1947       36   0.007138     0.008382     0.007732
   1947       37   0.007260     0.008784     0.007994
   1947       38   0.007137     0.008703     0.007896
   1947       39   0.007464     0.008796     0.008114
   1947       40   0.007495     0.009221     0.008359
   1947       41   0.008050     0.009532     0.008798
   1947       42   0.008150     0.009697     0.008921
   1947       43   0.007995     0.010269     0.009145
   1947       44   0.007944     0.010694     0.009334
   1947       45   0.008214     0.011000     0.009629
   1947       46   0.008710     0.011749     0.010252
   1947       47   0.009254     0.012566     0.010939
   1947       48   0.009492     0.013022     0.011298
   1947       49   0.010540     0.014362     0.012487
   1947       50   0.011211     0.014627     0.012951
   1947       51   0.011729     0.016468     0.014138
   1947       52   0.012399     0.017593     0.015039
   1947       53   0.013266     0.019209     0.016291
   1947       54   0.013600     0.020159     0.016917
   1947       55   0.014184     0.021286     0.017753
   1947       56   0.015458     0.022918     0.019179
   1947       57   0.016377     0.025854     0.021052
   1947       58   0.018685     0.029012     0.023783
   1947       59   0.019992     0.030451     0.025129
   1947       60   0.023078     0.035616     0.029131
   1947       61   0.023244     0.035563     0.029116
   1947       62   0.026841     0.040895     0.033453
   1947       63   0.029236     0.044472     0.036289
   1947       64   0.031094     0.048071     0.038848
   1947       65   0.034042     0.053272     0.042804
   1947       66   0.037736     0.057049     0.046487
